CCN,Penalty,SCR
520027,N,2.3
520028,N,6.4
520030,Y,7.975
520033,N,5
520034,N,5
520035,N,5
520037,Y,7.4
520038,N,7
520041,Y,10
520044,N,7
520045,N,4.1
520048,Y,8.275
520049,N,3.625
520051,N,4.775
520057,N,3
520059,N,1
520062,Y,8
520063,N,3.45
520066,N,4.05
520070,Y,7.7
520071,N,7
520075,Y,7.025
520076,N,5
520078,Y,7.3
520083,N,5.35
520087,N,4.025
520088,N,5.35
520089,Y,7.625
520091,N,5.3
520095,N,3
520096,Y,8.35
520097,N,4
520098,Y,8.7
520100,N,3.95
520102,N,3.8
520103,N,5.625
520107,Y,9
520109,Y,9
520113,N,1.35
520116,Y,8
520136,Y,9
520138,N,5.325
520139,N,5.375
520160,Y,8.05
520177,N,5.05
520189,Y,7.7
520193,Y,7.05
520194,N,5
520195,Y,10
520196,N,4
520198,N,6
520202,N,1.35
520204,Y,8.3
520205,Y,9
520206,N,6.35
520207,N,6.725
520208,Y,8
530002,Y,9
530006,N,3
530008,N,6
530010,N,7
530011,Y,10
530012,N,4.3
530014,N,6.075
530015,N,3
530025,Y,8
530032,N,5
530033,Y,10
670002,N,3
670004,Y,8
670005,N,6
670006,N,2
670007,Y,10
670008,N,4
670012,N,1
670018,N,6
670019,N,3.6
670021,N,7
670023,N,5.9
670024,N,4
670025,Y,10
670029,N,4
670031,N,1.35
670034,N,3.975
670041,Y,7.35
670043,N,5
670044,N,3.375
670046,N,4
670047,N,3.45
670049,N,5
670050,N,7
670053,N,5.375
670054,N,5
670055,N,5.55
670056,N,5.35
670058,N,7
670059,Y,9
670060,N,3.275
670061,N,4
670062,N,7
670066,N,4
670067,N,2
670068,N,4.375
670069,N,4
670071,N,3.75
670072,Y,8.95
670073,N,3
670075,N,5.25
670076,N,4
670077,N,4.575
670078,N,7
670079,N,2.75
670080,N,5.65
670082,Y,7.625
670083,N,6
670085,Y,9.3
