CCN,Penalty,SCR
170086,N,2.975
170094,N,5
170103,N,4
170104,N,2.35
170105,N,5
170109,Y,8
170110,N,7
170120,N,5
170122,N,4.575
170123,N,4.925
170133,N,7
170137,N,2
170142,N,1
170145,N,4
170146,N,1.35
170150,Y,9
170166,N,5
170175,N,4.65
170176,Y,7.4
170180,Y,10
170182,Y,8.05
170183,N,3
170185,Y,7.225
170186,N,6.925
170187,N,1
170188,N,4
170190,N,4
170191,N,1
170194,N,5
170196,N,1
170197,N,2.975
170198,N,5
170199,N,5
170200,N,6
170201,Y,10
170203,Y,10
180001,N,5.3
180002,Y,8
180004,Y,10
180005,N,4.15
180009,N,2.675
180010,N,4
180011,N,5.4
180012,N,2.35
180013,N,4.25
180016,Y,10
180017,N,6.2
180018,N,3.8
180019,N,1.35
180020,N,4
180021,N,5.9
180024,N,2.4
180025,N,4
180027,N,5.55
180029,N,1.675
180035,N,5.725
180036,N,6.7
180038,N,4.6
180040,Y,9.35
180043,N,3
180044,N,6.1
180045,Y,7.725
180046,N,5
180048,N,4.975
180049,N,4.25
180050,N,2.05
180051,N,5.875
180053,N,4
180056,N,3.625
180064,Y,10
180066,N,3
180067,Y,7.3
180069,N,2.05
180070,N,6
180078,N,1.7
180079,N,5
180080,N,5.6
180087,N,5.35
180088,Y,7.025
180092,N,2.4
180093,N,4
180095,N,5
180101,Y,7.05
180102,Y,7.7
180103,N,3.95
180104,Y,7.225
180105,N,4
180106,N,4
180115,N,7
180116,N,6.95
180117,N,4
180124,N,6.2
180127,N,2.975
180128,N,6.6
180130,Y,7.3
180132,N,5.675
180138,Y,8
180139,N,2
180141,Y,7.95
180143,N,5.4
180149,N,5
190001,N,5
190002,N,6.225
190003,N,2.05
190004,N,3.275
190005,Y,8.7
190006,Y,7.65
190007,N,5.9
190008,N,4.95
190009,Y,8
190011,N,5.625
190013,N,2.75
190014,N,2.75
190015,N,2.3
190017,N,4.975
190019,Y,8.325
190020,N,3.45
190025,N,1.35
190026,N,5.75
190027,N,5.975
190034,Y,7.6
190036,N,5.375
190039,N,5.325
190040,N,6.1
190041,N,5.375
190044,N,2.4
190045,N,6.375
190046,N,6.35
190050,Y,9
190053,N,3
190054,N,1
190060,Y,7.3
190064,Y,7.075
190065,N,5.9
190079,N,4
190081,N,6
190086,N,2.75
190088,N,4
190090,N,5
190098,Y,7.725
190099,N,2
190102,N,4.975
190106,N,3
190111,Y,8.025
190114,N,3
190116,N,3
190118,N,5
190125,N,4.575
190128,N,7
190133,N,7
190140,N,5
190144,N,3.975
190145,N,6
190146,N,5.25
190151,N,5
190160,N,6.7
190164,N,1.35
190167,N,5.325
190175,N,2
190176,Y,10
190177,N,6.575
190183,Y,9.65
190184,N,6
190190,N,6
190199,N,7
190201,Y,9.65
190202,N,3.675
190204,Y,7.275
190205,N,5.275
190208,N,6
190218,N,6
190236,N,3.275
190241,N,4
190242,N,6
190245,Y,9
190246,N,3
190250,N,2.675
190251,N,6
190255,N,7
190256,N,7
190257,N,3
190259,N,4
190261,N,6
190263,N,6.85
190266,N,5
190267,N,5
190268,N,7
190270,N,3
190274,N,1.675
190278,N,3
190297,N,5
190298,N,1
190300,Y,8.95
190302,Y,10
190303,N,3
190304,N,7
190307,N,7
190308,N,6
200001,N,4
200002,N,3
200008,Y,8
200009,Y,10
200018,N,6
200019,N,1
200020,N,4
200021,N,5.65
200024,N,5.725
200025,N,4
200031,N,2.4
200033,Y,7.35
200034,Y,9.025
200037,N,3
200039,Y,8.375
200040,N,3
200041,Y,8
200050,N,4
200052,N,4
200063,N,1
210001,N.A.,7
210002,N.A.,9
210003,N.A.,4
210004,N.A.,5.5
210005,N.A.,9.5
210006,N.A.,8
210008,N.A.,9
210009,N.A.,7
210011,N.A.,2.5
210012,N.A.,9.5
210013,N.A.,4.5
210015,N.A.,3.5
210016,N.A.,3.5
210018,N.A.,1
210019,N.A.,7
210022,N.A.,8
210023,N.A.,10
210024,N.A.,4
210027,N.A.,3
210028,N.A.,5.5
210029,N.A.,4.5
210030,N.A.,10
210032,N.A.,1
210033,N.A.,2
210034,N.A.,1
210035,N.A.,7
210037,N.A.,10
210038,N.A.,1
210039,N.A.,1
210040,N.A.,7
210043,N.A.,10
210044,N.A.,6.5
210048,N.A.,7
210049,N.A.,6.5
210051,N.A.,4
210055,N.A.,8
210056,N.A.,4
210057,N.A.,8
210058,N.A.,10
210061,N.A.,10
210062,N.A.,10
210063,N.A.,10
220001,N,4.925
220002,Y,7.075
220008,N,6.05
220010,N,3.05
220011,N,4.675
220012,N,5.6
220015,N,5.325
220016,N,1
220017,N,4.15
220019,N,5.65
220020,N,3.95
220024,Y,7.075
220029,N,4.7
220030,N,2
220031,Y,7.4
220033,N,1.35
220035,Y,8.975
220036,N,6.35
220046,N,2
220049,N,3.3
220050,N,4
220051,N,5
220052,N,1
220058,N,6
220060,Y,8.35
220062,N,4
220063,N,3.275
220065,N,4
220066,Y,8
220067,N,5
220070,N,6.075
220071,N,6.925
220073,N,3.375
220074,N,5.225
220075,N,5
220077,N,5.55
220080,N,3.8
220082,Y,7.375
220083,N,4.95
220084,N,6.375
220086,Y,8.7
220088,N,5.225
220090,N,3.4
220095,N,6.05
220098,N,2
220100,N,2.625
220101,N,3.05
220105,N,5.075
220108,N,5
220110,Y,7.4
220111,N,4.275
220116,Y,7.725
220119,N,5.225
220126,N,6.9
220135,N,6.4
220163,N,7
220171,Y,7.725
220172,Y,10
220174,N,1.35
220175,N,3.275
220176,N,5.65
220177,N,6
230002,N,2.3
230003,N,4
230004,N,3.35
230005,N,1.35
230013,N,4
230015,N,6
230017,N,5.775
230019,N,5.7
230020,Y,8.65
230021,N,6.55
230022,N,1
230024,N,6.1
230029,N,6.05
230030,N,1
230031,Y,7.7
230035,Y,9
230036,N,6.05
230037,N,3.8
230038,Y,9.025
230040,N,4
230041,N,6.525
230046,N,4.575
230047,Y,7.725
230053,Y,7.4
230054,N,4.05
230055,N,3
230058,N,5
230059,Y,7.4
230066,N,3.45
230069,Y,8.6
230070,N,5.425
230071,N,6
230072,N,4.6
230075,Y,7.65
230077,N,5.45
230078,N,5
230080,N,2.95
230081,Y,10
230085,N,5
230089,Y,7.35
230092,N,3.275
230093,N,6
230095,N,4.6
230096,N,7
230097,N,2
230099,Y,8.7
230100,N,2
230104,N,6.725
230105,N,5.6
230106,N,4
230108,Y,8
230110,N,3
230117,Y,8.675
230118,N,7
230121,N,7
230130,N,6.425
230132,Y,8.35
230133,N,2
230141,Y,8.05
230142,N,7
230144,Y,7.2
230146,N,5.275
230151,N,5.75
230156,N,6.75
230165,Y,7.325
230167,Y,8.275
230174,N,5
230176,Y,9
230180,Y,10
230193,N,2
230195,N,5.35
230197,N,6.75
230207,N,4.075
230208,Y,10
230216,N,4.325
230217,N,3
230222,N,3.35
230227,N,6.725
230230,N,3.3
230236,N,5.1
230239,N,2.05
230241,N,5
230244,N,6.3
230254,Y,7.375
230259,N,1
230264,N,7
230269,N,3.65
230270,N,4.6
230273,N,6.425
230275,N,7
230277,Y,7.35
230279,N,7
230297,N,6.075
230301,N,6
230302,N,4.8
240001,N,6.325
240002,N,6.075
240004,Y,9.025
240006,Y,8
240010,N,5.625
240014,N,4
240018,N,2
240019,Y,7.95
240020,Y,9
240022,N,3
240030,N,3.45
240036,N,6.625
240038,Y,7.2
240040,N,3
240043,N,3
240044,N,5.4
240047,N,6.425
240050,N,5
240052,N,3
240053,N,6.05
240056,N,5.75
240057,N,6.225
240059,N,2
240061,N,3.275
240063,N,5
240064,N,3
240066,N,3
240069,N,4
240071,N,7
240075,Y,8
240076,N,3
240078,N,3.025
